X,J0,J1 
-99.0,-0.054474235270499073439909081734589212603055276186391977790611906332109027663466152313088231403220241149999698854354814950400281652431518728106989269478582730461500433985247355297402876041475023862902994633450315566982617573286922163640707643777473303797891723240789945902497960714951161878312618484006665582909510953815193928767258573652778714925607679996915180449281653029263972882965551970450036638624482722382317646746801584775942064413005150208382239560972222941501549625338796418091124625030146433,-0.0591229425530740670371351337298581015636789465510966302686169873517719962861349207729599320550515933817624564326302933302188756426597244578090407904207795220859938998194721753369216932390437717448845632964503032520633397829056208268887297156479337246055987452223076892034496766007150544197922943949795556356168531888246975787653380935500215401986187338976053409249231767253315066127079644926111340566282808837644674730854721722421412343269773337450267596 
-98.9,-0.060107427708307826669826718530209027742665266993457359623048584458576990947671923377360295877419610300102416238164175525095956946473070568407237318559865632240708053135095588420460632781628644556632602596515085123477920477226279523186034673679364302536364075693318616331336297079110531028043085550286445769479325829772554983892795309997342695918263770559646231703918824537070178266911104254498701477132184649475848509637435606756345131875815335818025912075356022812056314686398345131572971945133399711,-0.0534460570934353956601698422135805795285546967557855671801841265056858562822992092842079142823210057432597678723678835338645161744169255391172425544879818079897889980100910845903804892971390898522776877374637376088059654143561287990220783865959212959197442577351313979165978009804655850700464435048207337182226372900846840049378102811178770456430369528927392389344106759393544300513442505738872466185755375192329859185364273358044674555495613588740394307 
-98.8,-0.065145441494624272254933615811453162623203482928184411480821641133450726549549977485735988037634667760602459673214214568218053625481311659479825123511871113582590553706952854536947164928096147471725273342768042625659805526102234194606406869561129571198673553737643760594864328044453501358188159056460559052130653478109601142692467301807758419505215762899296951091772060944245385763477012429550629412593291620693017926849728225779746926163412208672752217443070692239644373958989016364223109568584203486,-0.0472291977846814242528994908852974803600927163373625599393730766637521844332672067074503590647047438744113929895954901940729871060390412970063323005315058036198651491970905408673665607469475040602674518964365785004504118273498932030471248023283732530450793447682863988845100100310509488593967818329334489777987833601694150898656168387219209111924277877078149653501013756247607547235940254708811813866293308643092891738118692571386152184557279663972328866 
-98.7,-0.069537315719533837974718245315852838142565455224725841271042877931238374585326140287417005372302769273237837281391072577402823252739880656544802428570216290566126761270740781096898878783122894898703172745322883641328395784077978355393938621984368635687228935810741217876232428169136173880338137285486976144785275117234095002579023249007132180093525428418061752129978714091006270806136492908016863965971671984052911473663895785518675178946231304542235478036272324052407292443350059920302658400111538323,-0.0405339537375304916185647184171177558098368273757750727303159365293201840150117854423273754103735051343372544248515790435426094310507957489330303804620533247040806942767426566871937540923381576652795741628976594418369228216265715548374148316433371775806165978659178364654535285795263360504172163477362692034809729191132831203526532290952491389249391568733211049556238050576184757083787262059578745077351633073753367140158343964754482296540404833564457913 
-98.6,-0.073238495837925950970877531340549784021758114927949125962289344699585531023720311461163514592910083102090859507398902884475324551447108948421013246395546877075832633525996433468959572408628839904719906103969299810921404934597095022612096418724122673876318856860743168124009330479354034456757186880295357416590957386548103100644169615183964667507323918449826043862646532124209341198526514896075927824864112875826962450298086379006263985338457309654179565765632992720418829474020495237106758005148091791,-0.0334267572067853848414780573833772631514683552037027543679012883970414723058110111806681165400937598566212427296506384032254887144887664560329186342106181715099932311290380755586832594144398654415165975378089222924057866219179562435454336104246308107092100940101315753598674007754249294415311558444313082311737955393127076955995197671301868445478802369726907393157737486720939951043218181026912491877026642868651435864552863400973753812397192568224333091 
-98.5,-0.076211285419172137235403409385955797095240710642861233555508139790850573819323253200184783939347868929091350366307621870746526329562357212784938230599705139825800961023749000061916203016277846678407973843376941448008893702721752471733615158640826370139176992709647808464818477496630469411009366597432772709138172710679072851683648856492913899842434486264827341781659686504333181046561465214956596110332189846039610790351877801937956528576396541945078190504217853112450495967448469584128926177960217581,-0.0259782246591441904095517063924394550190710182777784502311711742354043411710631866816778080843659305954893304416073743501191228470830871624543997240904524639541320845297674094381487719566052722565940116982756644510358408292891208922032574392633318351858202396667279373982937618956682403381418620779671750122659395296953745700857984311250390014990358600312759123790643131450535031900106484202563885744489089741867307707052515726262723693424875914569757826 
-98.4,-0.078425229823561831766002471119747308441703861648934479065208703530173935169509632441430423696447234250058519879715799070512068335844495577416963132177955453936462682002538992613826049216047168526221375684611742517936438346190320152627632574626293872274396790855593822745634640009983939542698353276658132656316623752896299874664600618198586765100796381031360647128337899319748777461064820483530413512172891728100402063877236363419982435476839377203463101437647910645104339595946105596703226609785826287,-0.0182624553674368944151755816522983730954639409480412129377739193200512786350069092169750703390058596210028433070721593834806199033577329481420815514239939566620584172100851286575335026340147326324699343224642855001642622143861283686830093853146350937020847976943817158525405997319365964530186534382637228920340220134724061517935597752105216550547760235104062689219545475911718186947354321058460580482544373705803177296749730785213035154395600512710078599 
-98.3,-0.079857427903054838084874613091046387337810402768811810655196610276304138523290535643802005661394392061567037349111797064026875386751439825605788737033519091742654770811613923965170188965471429238824059752676034385734164517248071572599828482408571042004714122301063926916097088139317799243085974953700606356035956108894735583325244807609413815548289337786928483595864298149441386786613018919865032550180233052792752877787408174708560121193461310060454695525316481417535651032825434265112184401997453504,-0.0103562944957918493655650082118477895182065094456505290105910435938019410093967979326017567838711478588022378410563988324419303398739154096313570364337282849553606343864337068201841009255862587823672985037812570565577025867765715136922348911419292882016244947906465899368754617173496527667339110182355258995923512525498693164019922277544324860687506302248524428510702234600453608322992526653565990657105085973777135867329379296707335191501889452490348950 
-98.2,-0.080492768539040105963522072793772197116428770102656539321600671077499543027526888689500287244159216827405155167395109538282494563618113221016589882815993653890333353454858299316461015785869822294739416727467075598798562399332292256793518660781962319948478809464494375044353106276954959900164519508024971283936159090725344658555883381660721375866657808461201578513961641424725442050276248187393149510492242267491530004114097446312326164957339532400434310614793565637947692966351541365322307571125355110,-0.0023385680019923469889016665061090436739613147274705049115353798310230244393214511872228775747295563506222000153144893917376269862424777677326505209708137996685796943145276687784917847469807448263655588758331870509328395134094435240057241874932050121556946793106730919647850277127789688871088139187161473940033830030869477340681815828578915344245792189659846273440975262791487265325313600896203726566043477362079431126387689897962011528894066848885821450 
-98.1,-0.080324089577483897507506518238347310539843157369987533815446605696217681530888063431001872094266155630413373512822166713197677956683083596661402487696555762353182540841956712656443092729983868201635631590212902555871814556129561015293229779894279547399239519373704910227292106364461897297338797566914226570625635129629549178172682244232746331333028008681442159453905289488186479281886582589407721512224875664137058792484889575169863759423536208518295833307670897436512039229610087240475961258153742821,0.0057107030277736909079505899219636406195270365500895187427330074431687858634033377770708301128372674337228092065466193770131571852822855575804756298734742200264858127526921599674519040851098451795550451743114549217087866371951822343009119007877102109576109679035754684572674270878134068913654480598018093618803888015769061308766227141104121518503585576157216731052282366056659141025148080299976804262664731668868622917146655289662624704643013755556090556 
-98.0,-0.079352257494671021832137400367234368105126127172130701609731213125137697647163645857489520154265506586974071885255580816868759103582718841706046351299383126627701778441464415888380115160846806778599835827299201540337138060970337215663362253174866457821086097734170026120805595618370185469303264105589437961928234227884301298466259101568829785003154815828935744864038804075456893333010324781985217401638398136421368300305236131946775138819541265423347863313762703986712065644406143931832509395665975673,0.0137111007833976956707387707388152172873428242298663774899312021153581997253706759741621420789809785703367113667431938059824999305760695257249630559456671556711168708512124523990685548776035171605492426687163457504046236686994663912728563230896280367813084972704816991176831957948817684020249159449389783044870704113821289153139517382335216466515148975814123508944653930916976937321464436413999949685374681946435690438305260194288916576684423301447046289 
-97.9,-0.077586166916996716797874133063652651216638335123706745287138867450743465901765617811197575785781448638362377290413838258407624258013772966821091667258678704155919274182813974109173949410915356487074215904292736508405429313692124992284547581784862497843147949174049798544634545933007259262654744569157597916081809497841759422304085984090539065383575733168825200385668923877020388816882097052482823782273697014679525158898558117583103914168808972510395020047143625789529001422793444031356916130725521659,0.0215826139110027890559806954339673644163184373083309417936087268711827902812141347111034525568560439574732061483206256298377808994671930173351924283812356431735485531532231652362689738034582064907254277841613601872652856188720955359371489194910369031096220081313613895228108245590032373944471550779804273690723354547922306012491955802015075675388140188046727941982986936637842415101205373074875676263636421489513973840758299718707413595606026355003317261 
-97.8,-0.075042659918078138544709762967369686905085430232289485076126886153979269456640509820247880298350687942250066565888424007947711968425263634745707066277542102685308587570542501727213696853070509820326342663509939250448660743954066012043102476961468327856507251150482613603925757352464492678700958170382415191367812180110514139657414518589471611316773334385376549632741282785679291520220414911653142435449452274349139040229040708876336422219994587204899275290203586522366435749608298131316282413731757073,0.0292464374494141309501871355036822538342809695581012586109764114167142831593908600718525239367912351704772617549379291873961596739519497526733640978997063571377475731751512583787466525251736966118387800848780015733723664332506033700593816021118482066612534792776675917500633207892276686970616938025196933625156703091173435035720695520283906758200532642914599629785345619855186859087973435964571713959896714432524798944318281821901020019061374049924003855 
-97.7,-0.071746365817844066106658114745087365110986099027921228965703159958492885207566220066383417617718983271181063525138430564851921875425194396375271294142947704641082969962633760220061311420207755592696635259674709677066733598920710862567949018454356682381759984605782591189859454855101044950745082369804116462178942834966092757506211965168001199527582179246069724862677707491036001345522922689501943902195395523992102845327134868132195706126220432277738374813169156586597497664138260796440951771516566449,0.0366257615278564520121680142684814717659130389657736720335442131548558315577340167681918867674222935819487486223427127369495569771052110926087088540266633101213296384664827656213480476241483492807611032188852967993488320644728963951922387154733288536963456716799324284392001985669858309806410140437724542471978041308753458677044512284180807713977648640883769115643188014802140390784162560156900163198281548305448276589667387956774048707541727533959311096 
-97.6,-0.067729463003226283346742720141390529512906048672018193354400332209921033038462660923751111503104869092334879680605539049877898645864992566247233900063556061969769925198703452517921400950212143751177819333723166941919828795042195864420884818810110849425375473599275984557343916376020224055498787949561976016154007793473162968541409235868906833141800907867223040856544703242718961402145921211355063165987835365142960667667512176582632283181334982543927432362408488200536500093994003751785720749263078224,0.0436465409339307432594975782675342126670244237931017106075545384872997710623935055374705466873086439518433202111931988316949572690049942754353090106539872210177345481033187241159923300938833321459539614418440064900924756219784942863584681243324404823254585757730019266744547465336705499532758079691301013638193488632712738516462160303954194363819997497209438469757499952397579114060505631286165386491007983870424431340217209556782191259801050562834266316 
